"restaurant";"type";"prix";"nom";"description"
"Poke tea";;"0,5";"Supplément sauce";""
"Poke tea";;"3,9";"Gâteau Taïwanais (2p)";""
"Poke tea";;"6";"bubble tea au lait bio (500ml)";"tapioca, lait bio"
"Poke tea";;"6,9";"Smoothies kiwi-pêche \"500 ml\"";"kiwi,pêche, graine de basilic, perle de fraise"
"Poke tea";;"12,9";"Gyoza-bun";"0% friture, pas de nêm, carottes BIO, 3 gyozas à la vapeur. cacahuètes, sésame, oignons frit, sésame wasabi"
"Poke tea";;"4,5";"Gelée d'herbe au lait de coco à l'haricot rouge";"Dessert traditionnelle chinoise : gélée d'herbe à l'haricot rouge."
"Poke tea";;"4";"Bubble tea fruité";"Aux perles de fruits du jour."
"Poke tea";;"9,9";"Avocat bun";"0% friture, pas de nêm, carottes, cacahuètes, sésame, oignons frit, sésame wasabi"
"Poke tea";"salad";"9,9";"Salade saumon avocat";"Salade verte,soja, saumon frais, avocat, concombre et carottes."
"Poke tea";"salad";"9,5";"Salade poulet avocat";"Salade verte, soja, poulet, avocat, concombre et carottes."
"Poke tea";"salad";"9,9";"Salade veggie au tofu";"salade verte, soja, tofu, avocat, concombre et carottes."
"Poke tea";;"2,2";"Soda (33 cl)";""
"Poke tea";;"6,5";"Mangue fraîche extra sweet";"Mangue avion"
"Poke tea";;"5,5";"Soda bubble (500ml)";"à l'eau pétillante avec les perles fruité du jours."
"Poke tea";"salad";"8,9";"Salade avocat";"Salade verte, soja, avocat, concombre et carottes."
"Poke tea";;"12,5";"Poke bowl L";"5 légumes au choix et 2 source de protéine au choix."
"Poke tea";;"3,5";"Macaron et choux (yuzu et matcha) 2pièces";""
"Poke tea";;"0,5";"Sauce";""
"Poke tea";"salad";"10,9";"Salade saumon mangue extra-sweet";"Salade verte, soja, saumon frais, mangue surper sucrée, avocat, concombres et carottes."
"Poke tea";;"4";"Galaxy";"Graine de basilic, gelée fruité, gelée d'herbe, perles fuité."
"Poke tea";;"9,9";"Poke bowl M";"3 légumes au choix et 2 source de protéine au choix."
"Poke tea";;"7,5";"Smoothies mangue extra-sweet (500ml)";"frappée mangue avion, perles fruitées : fraise"
"Poke tea";;"3,5";"Gelée d'herbe au lait de coco";"Gélee d'herbe traditionnelle Chinoise."
"Poke tea";;"3,9";"ananas frais";""
"Poke tea";"bobun";"9,9";"Bobun au poulet";"0% friture, pas de nêm, carottes, cacahuètes, sésame, oignons frit, sésame wasabi"
"Poke tea";;"2,9";"Mochi \"2 piéces\"";"Gâteau japonais fourré."
"Poke tea";;"5,9";"Santorini (500ml)";"boisson gazeuse, curaçao, yahourt, citron"
"Poke tea";;"6,9";"smoothies pêche (500ml)";"pêche, perles fruités \"fraise\"."
"Poke tea";;"5,9";"Boisson de rêve (500ml)";"yahourt, couelur rose"
"Poke tea";;"4";"Bubble tea lacté";"Goût lacté, avec les perles de tapiocas."
"Poke tea";;"2,2";"Nougat";""
"Poke tea";"salad";"9,9";"Salade aux crevettes";"Salade verte, soja, crevettes, avocat, concombre et carottes."
"Poke tea";;"3,9";"Gelée d'herbe aux cacahuètes";"Dessert traditionnelle chinoise : gélée d'herbe aux cacahuètes."
"Poke tea";;"6,9";"Smoothies pêche mangue";""
"Poke tea";;"3,5";"lychee au sirop (300ml)";""
"Poke tea";;"10,9";"Poke bowl végétarien L";"5 légumes au choix et tofu."
"Poke tea";;"3,5";"Gâteau spécial roulé ultra-moelleux(1p)";""
"Poke tea";"bobun";"11,5";"bobun aux crevettes";"0% friture, pas de nêm, carottes, cacahuètes, sésame, oignons frit, sésame wasabi"
"Poke tea";;"5,9";"Gelée d'herbe royal";"Dessert traditionnelle chinoise : gélée d'herbe à l'haricot rouge, perles de fruits, fruits frais et gélee de fruits."
"Poke tea";;"4,5";"pastéis de nata (2p)";""
"Rania";"sandwich";"10";"Sandwich gourmand HALLOUMI végétarien";"Halloumi est un fromage d'un mélange de lait de chèvre, menthe, tomate, cornichon et huile d'olive."
"Rania";"sandwich";"8,5";"Sandwich Sojok";"Petites saucisses épicées, houmous, salade, kabiss, et crème d’ail."
"Rania";"sandwich";"7,5";"Sandwich Batata Harra végétarien";"Dés de pommes de terre rissolés à l’ail, à la coriandre, salade, tomate, et concombre."
"Rania";"sandwich";"7,5";"Sandwich Houmous végétarien";"Houmous, salade, tomate, cornichon, et huile d’olive."
"Rania";"sandwich";"10";"Sandwich gourmand falafel végétarien";"Boulettes de fèves et de pois chiches, salade, kabiss et crème de sésame."
"Rania";;"8";"Samboussek fromage végétarien \"4 pièces\"";"4 Rissoles de fromage et fines herbes."
"Rania";;"17,9";"Plat Man'ouché ZAATAR végétarien";"Galette au thym, graines de sésame et un assortiment de 3 entrées froides."
"Rania";;"7";"Tahiné en pot";"Crème de sésame. 200 g"
"Rania";;"8";"RIKAKAT fromage végétarien \"4 pièces\"";"4 croustillants au fromage, et aux fines herbes."
"Rania";"sandwich";"10";"Sandwich gourmand batata harra végétarien";"Dés de pommes de terre rissolés à l’ail, à la coriandre, salade, tomate et concombre."
"Rania";"sandwich";"10";"Sandwich gourmand labné végétarien";"Fromage blanc épais, menthe, concombre, sel et huile d’olive."
"Rania";;"1,5";"Sauce piquante";"1 petit pot de sauce de piquante."
"Rania";;"20,9";"Plat Rania";"3 viandes au choix : \"chawarma boeuf, chawarma poulet, chiche taouk, kafta, sojok ou makanek\", houmous, moutabal, tabboulé, et au choix : \"riz, blé ou batata harra\"."
"Rania";"sandwich";"11";"Sandwich gourmand Sawda Djaj";"Foies de volaille poêlés au citron, ail, coriandre, tomate, crème d’ail, et kabiss."
"Rania";;"7";"Eau de Fleur d'Oranger";"250 ml"
"Rania";;"9";"Jawaneh";"Ailes de poulet mariné à l’ail, coriandre, et citron."
"Rania";;"8";"Savon d'ALEP";"Huile d'olive, l’huile de baie de laurier et eau. PAS DE MATIÈRES CHIMIQUES."
"Rania";"sandwich";"11";"Sandwich gourmand chawarma boeuf";"Émincé de boeuf rôti à la broche, tomate, persil, oignon et crème de sésame."
"Rania";"drink";"2";"Oasis Tropical";"33 cl."
"Rania";;"18,9";"Plat de chawarma poulet";"Emincé de poulet mariné, rôti à la broche, houmous, moutabal, et tabboulé, avec au choix : riz, blé ou batata harra \"dés de pommes de terre rissolés à l’ail, et à la coriandre\"."
"Rania";;"2";"7 Up Mojito";"33 cl."
"Rania";;"17,9";"Plat de mézzé végétarien";"Assortiment de 7 entrées froides."
"Rania";"salad";"8";"Fassoulia";"Salade de haricots blancs marinés au citron et à l’huile d’olive."
"Rania";"sandwich";"10";"Sandwich gourmand warak inab végétarien";"Warak Inab \"Feuilles de vigne farcies au riz, tomate et persil\""
"Rania";"drink";"3,5";"San Pellegrino";"50 cl."
"Rania";;"9";"Sojok";"Petites saucisses épicées nappées de jus de citron."
"Rania";;"8";"Moine";"Aubergines grillés, poivron, tomate, oignon, citron, et huile d’olive."
"Rania";;"8";"Mjaddara";"Purée de lentilles, riz, cumin, huile d'olive"
"Rania";;"18,9";"Plat de sawda djaj";"\"Foies de volaille poêlés au citron, ail, coriandre, mélasse de grenade, houmous, moutabal, tabboulé avec au choix riz ou blé ou batata harra\"."
"Rania";"sandwich";"10";"Sandwich gourmand Houmous végétarien";"Houmous, salade, tomate, cornichon, et huile d’olive."
"Rania";;"17,9";"Plat Man'ouché JEBNÉ végétarien";"Galette aux fromages et un assortiment de 3 entrées froides."
"Rania";;"3,5";"EVIAN";"50 cl."
"Rania";;"8";"Falafel végétarien \"4 pièces\"";"4 Boulettes de fèves et de pois chiches à l’huile de sésame, 4 pièces."
"Rania";;"18,9";"Plat de sojok";"Petites saucisses épicées nappées de jus de citron, houmous, moutabal, et tabboulé, avec au choix : riz, blé ou batata harra \"dés de pommes de terre rissolés à l’ail, et à la coriandre\"."
"Rania";"drink";"2";"Ice Tea";"33 cl."
"Rania";;"8";"Fromage Féta";"Féta, olive, tomate, huile d’olive, persil, et menthe."
"Rania";"sandwich";"7,5";"Sandwich HALLOUMI végétarien";"Halloumi est un fromage d'un mélange de lait de chèvre, menthe, tomate, cornichon et huile d'olive"
"Rania";"sandwich";"8,5";"Sandwich Chiche Taouk";"Brochettes de poulet mariné, houmous, batata harra, salade, tomate, et crème d’ail."
"Rania";;"2";"Eau minérale";"50 cl."
"Rania";;"9";"Houmous b'lahmé";"Houmous avec chawarma boeuf."
"Rania";;"57";"Mezzé végétarien TRIO DE PLAISIR \"3 personnes\"";"8 Entrées froides au choix, 2 entrées chaudes au choix, 3 pitas et 3 backlawas."
"Rania";;"7";"Halawa";"Halawa aux pistaches. 200g"
"Rania";;"8";"Piments verts farcis au fromage frais";"Piments verts farcis au fromage frais"
"Rania";;"42";"Mezzé FACE À FACE \"2 personnes\"";"4 entrées froides au choix, 4 entrées chaudes au choix, 2 pitas et 2 Backlawas."
"Rania";;"19,9";"Plat de brochettes mixtes";"1 brochette de taouk et 1 brochette de kafta, houmous, moutabbal, et tabboulé, avec au choix : riz, blé ou batata harra \"dés de pommes de terre rissolés à l’ail, et à la coriandre\"."
"Rania";"sandwich";"11";"Sandwich gourmand kafta";"Brochette de viande hachée, houmous, batata harra, persil, oignon, salade et tomate."
"Rania";"sandwich";"10";"Sandwich gourmand Warak Inab végétarien";"Feuilles de vigne, salade, tomate, et huile de sésame."
"Rania";;"18,9";"Plat de makanek";"Petites saucisses parfumées, nappées de jus de citron, houmous, moutabal, et tabboulé, avec au choix : riz, blé ou batata harra \"dés de pommes de terre rissolés à l’ail, et à la coriandre\"."
"Rania";;"18,9";"Plat de chawarma boeuf";"Emincé de boeuf mariné et rôti à la broche, houmous, moutabal, et tabboulé, avec au choix : riz, blé ou batata harra \"dés de pommes de terre rissolés à l’ail, et à la coriandre\"."
"Rania";;"10";"Kebbe krass \"4 pièces\"";"4 Boulettes de bœuf et agneau hachés au blé concassé et pignons."
"Rania";"salad";"8";"Fattouch";"Salade mixte, pita grillée, concombre, menthe, sumac, ail, citron et huile d’olive."
"Rania";;"12";"Savon d'ALEP à l’huile de Nigelle";"Huile d'olive, l’huile de baie de laurier, huile de NIgelle et eau. PAS DE MATIÈRES CHIMIQUES."
"Rania";"sandwich";"11";"Sandwich gourmand chawarma poulet";"Emincé de poulet rôti à la broche, batata harra, salade, tomate et crème d’ail."
"Rania";;"8";"Houmous";"Purée de pois chiches, crème de sésame, ail, citron, et huile d’olive."
"Rania";;"8";"Moutabbal";"Caviar d'aubergine, crème de sésame, ail, citron et huile d’olive."
"Rania";;"18,9";"Plat de chiche taouk";"2 brochettes de poulet mariné grillé, huile d’olive, citron, épices, houmous, moutabal, et tabboulé, avec au choix : riz ou blé ou batata harra \"dés de pommes de terre rissolés à l’ail, et à la coriandre\"."
"Rania";"alcohol";"4,5";"Bière sans alcool";"Bière sans alcool"
"Rania";;"18,9";"Plat de kafta";"2 brochettes de boeuf et d’agneau, oignon, persil, houmous, moutabal, et tabboulé, avec au choix : riz ou blé ou batata harra \"dés de pommes de terre rissolés à l’ail, et à la coriandre\"."
"Rania";;"8";"Labné";"Fromage blanc épais, menthe, concombre, sel et huile d’olive."
"Rania";;"8";"Piments rouges farcis au fromage frais";"Piments rouges farcis au fromage frais"
"Rania";;"8";"Warak inab";"Feuilles de vigne farcies au riz, tomate, persil, citron, et huile d’olive."
"Rania";"pizza";"9";"SFIHA \"4 pièces\"";"4 mini pizza Libanaises à la viande, tomate, oignons, et pignons de pin."
"Rania";"sandwich";"7,5";"Sandwich Falafel végétarien";"Boulettes de fèves et de pois chiches, salade, kabiss, et crème de sésame."
"Rania";;"75";"Mezzé végétarien QUATOR D'AMOUR \"4 personnes\"";"10 Entrées froides au choix, 4 entrées chaudes au choix, 4 pitas et 4 backlawas."
"Rania";;"8";"Moussakka";"Aubergines au four, sauce tomate, ail, oignons et pois chiches."
"Rania";"sandwich";"7,5";"Sandwich Moutabal végétarien";"Houmous, salade, tomate, cornichon, et huile d’olive."
"Rania";;"2,5";"7 Up";"33 cl."
"Rania";"sandwich";"8,5";"Sandwich chawarma Boeuf";"Émincé de boeuf rôti à la broche, tomate, persil, oignon, et crème de sésame."
"Rania";"salad";"8";"Lentilles";"Salade de lentilles, oignon, tomate, persil,  poivron, et huile d’olive."
"Rania";"sandwich";"8,5";"Sandwich Sawda Djaj";"Foies de volaille poêlés au citron, ail, coriandre, tomate, crème d’ail, et kabiss."
"Rania";"drink";"2";"Coca-Cola";"33 cl."
"Rania";;"9";"Makanek";"Petites saucisses parfumées et nappées de jus de citron."
"Rania";;"8";"FATAYERS épinards végétariens \"4 pièces\"";"4 chaussons aux épinards."
"Rania";;"6";"Backlawa assortiment de 4 pièces";"4 pièces : cajou, amande avec un peu de pistache."
"Rania";;"8";"Loubié b'zeit";"Haricots verts cuisinés à la sauce tomate, à l’huile d’olive, et à l’ail."
"Rania";;"8";"Chakchouka";"Poivrons rouges, poivrons verts, sauce tomate, huile d’olive, oignon, et ail."
"Rania";"sandwich";"11";"Sandwich gourmand Sojok";"Petites saucisses épicées, houmous, salade, kabiss et crème d’ail."
"Rania";;"1,5";"Sauce Tahiné";"1 petit pot de sauce de tahiné \"crème de sézame\"."
"Rania";"sandwich";"8,5";"Sandwich Makanek";"Petites saucisses nappées de jus de citron, houmous, kabiss, et crème d’ail."
"Rania";;"3";"Pain libanais pita";"1 sachet de 5 pièces. "
"Rania";;"8";"Fromage Halloumi";"Halloumi est un fromage d'un mélange de lait de chèvre, menthe, tomate, cornichon, huile d'olive."
"Rania";;"1,5";"Sauce mélasse de grenade";"1 petit pot de sauce de mélasse de grenade."
"Rania";"sandwich";"11";"Sandwich gourmand Falafel & Maalé végétarien";"Falafel, courgettes, aubergines, choux-fleurs frits, tomate, salade, citron, ail et crème de sésame."
"Rania";;"8";"Cornichons libanais";"Mini concombres au vinaigre aigre doux."
"Rania";"sandwich";"8,5";"Sandwich Kafta";"Brochette de viande hachée, houmous, batata harra, persil, oignon, salade, et tomate."
"Rania";;"2";"PEPSI";"33 cl"
"Rania";;"2";"Schweppes Lemon";"33 cl."
"Rania";"sandwich";"7,5";"Sandwich Labné végétarien";"Fromage blanc épais, menthe, concombre, sel, et huile d’olive."
"Rania";"sandwich";"11";"Sandwich gourmand Makanek";"Petites saucisses nappées de jus de citron, houmous, kabiss et crème d’ail."
"Rania";;"7";"Mouhallabié";"Flan à base de lait, fleur d’oranger, pistache et confiture de rose."
"Rania";"drink";"2";"Coca-Cola zero";"33 cl."
"Rania";;"42";"Mezzé végétarien FACE À FACE \"2 personnes\"";"6 entrées froides au choix, 2 entrées chaudes au choix, 2 pitas et 2 Backlawas."
"Rania";;"57";"Mezzé TRIO DE PLAISIR \"3 personnes\"";"6 Entrées froides au choix, 4 entrées chaudes au choix, 3 pitas et 3 backlawas."
"Rania";;"9";"Sawda djaj";"Foies de volaille poêlés au citron, ail, et coriandre."
"Rania";;"8";"Maalé";"Courgettes, aubergines, et choux-fleurs frits."
"Rania";;"19,9";"Plat de chawarma mixte";"Emincé de poulet, de boeuf marinés, rôtis à la broche, houmous, moutabbal, et tabboulé, avec au choix : riz, blé ou batata harra \"dés de pommes de terre rissolés à l’ail, et à la coriandre\"."
"Rania";"sandwich";"11";"Sandwich gourmand chiche taouk";"Brochettes de poulet mariné, houmous, batata harra, salade, tomate et crème d’ail."
"Rania";;"75";"Mezzé QUATOR D'AMOUR \"4 personnes\"";"8 Entrées froides au choix, 6 entrées chaudes au choix, 4 pitas et 4 backlawas."
"Rania";"sandwich";"7,5";"Sandwich Warak Inab végétarien";"Feuilles de vigne, salade, tomate, et huile de sésame."
"Rania";;"18,9";"Plat de kebbé krass";"Assortiment de 4 entrées froides et 3 kebbé \"boulettes de bœuf et agneau hachés au blé concassé et pignons\"."
"Rania";;"9";"SAMBOUSSEK Viande \"4 pièces\"";"4 Rissoles de viande, pignons de pin"
"Rania";"sandwich";"7,5";"Sandwich Maalé végétarien";"Courgettes, aubergines, choux-fleurs frits, tomate, salade, citron, et ail."
"Rania";"dessert";"16,9";"Plat de beignets végétariens";"Assortiment de 10 beignets végétariens (Fromage, épinard, falafel)"
"Rania";;"8";"Navets libanais";"Mini navets marinés au vinaigre aigre doux."
"Rania";;"1,5";"Sauce ail";"1 petit pot de sauce à l'ail."
"Rania";;"8";"Cornichons sauvages libanais";"Mini concombres sauvages au vinaigre aigre doux."
"Rania";"sandwich";"10";"Sandwich gourmand Moutabal végétarien";"Houmous, salade, tomate, cornichon, et huile d’olive."
"Rania";;"7";"Confiture de Pétale de Rose";"430 g"
"Rania";;"17,9";"Plat de falafel végétarien";"Assortiment de 4 entrées froides et 3 falafels."
"Rania";"drink";"2";"Orangina";"33 cl."
"Rania";;"8";"Tabboulé";"Persil, tomate, menthe, oignon, blé concassé, sumac, citron et huile d’olive"
"Rania";"sandwich";"8,5";"Sandwich chawarma Poulet";"Emincé de poulet rôti à la broche, batata harra, salade, tomate, et crème d’ail."
"Rania";"dessert";"18,9";"Plat de beignets à la viande";"Assortiment de 10 beignets à la viandes (Sfiha, Samboussek viande, Kebbé)"
"Shamyat";"salad";"6";"Tabboulé";"Salade de persil, tomate, blé concassé, menthe, oignons, citron et huile d'olive."
"Shamyat";;"0,6";"Crème de Sésame";" Sauce de tahina fait maison"
"Shamyat";;"13,5";"Foie de volaille";"Foie de volaille sauté à la sauce à l'ailet coriandre et 3 assortiments au choix."
"Shamyat";;"6";"Warak enab";"Feuilles de vignes farcies de riz, tomates et persil.\n\n"
"Shamyat";"sandwich";"6,5";"Sandwich foie de volaille";"Mariné au citron, salade, tomate et sauce à l'ail."
"Shamyat";;"1,5";"Samboussek fromage";"Rissolé de fromage et persil - végétarien."
"Shamyat";;"0,6";"Sauce à l'Ail";" Mayonnaise légère à l'ail faite maison"
"Shamyat";"sandwich";"6,5";"Sandwich moutabbal";"Caviar d'aubergines, tomate, crème de sésame et huile d'olive."
"Shamyat";"sandwich";"6,9";"Sandwichs chawarma poulet";"Poulet mariné rôti à la broche, salade, tomate et sauce à l'ail."
"Shamyat";;"4,6";"Blé concassé";"Poivrons, oignons, sauce tomate et huile d'olive."
"Shamyat";;"7,9";"Arayes";"Pain libanais grillé et farci à la viande hachée persillée."
"Shamyat";;"6";"Piments au fromage";"Piments rouges farcis au fromage feta."
"Shamyat";;"1,5";"Samboussek viande";"Rissolé de viande et oignons."
"Shamyat";;"4,5";"Knafeh";"Cheveux d'ange, crème à base de fromage et sirop de sucre."
"Shamyat";;"5,5";"Assortiment de chaussons";"4 pièces différentes au choix."
"Shamyat";;"13,9";"Chiche taouk";"2 brochettes de poulet mariné au citron et 3 assortiments au choix."
"Shamyat";;"15,9";"Chawarma boeuf";"Émincé de poulet mariné et rôti à la broche et 3 assortiments au choix."
"Shamyat";"drink";"2";"Coca Cola Zero";"Taille au choix."
"Shamyat";;"36";"Mezzé syrien";"Assortiment de différents mezzés pour deux personnes proposés par le chef."
"Shamyat";;"6";"Moussakaa";"Aubergines au four cuisinées à la sauce tomate et avec pois chiches."
"Shamyat";;"1";"Pain  Syrien Saje";" 1 pain saje de 80 cm"
"Shamyat";;"1,5";"Sachet de pain";" 5 pains \"galettes orientales\"."
"Shamyat";;"2";"Fanta";"Fanta 33 cl"
"Shamyat";;"1,5";"Fatayer";"Chausson aux épinards"
"Shamyat";;"6";"Moutabbal";"Caviar d'aubergines à la crème de sésame, citron et huile d'olive.\n\n"
"Shamyat";;"11,9";"Chawarma shamyat";"Chawarma au choix  poulet ou bœuf mariné à la façon syrienne servie avec sauce à l'ail, frite et condiments."
"Shamyat";"salad";"12,5";"Falafel";"Servi avec salade, tomates, crème de sésame et hommos."
"Shamyat";;"14,9";"Grillade kafta";"2 brochettes de viande hachée, persil, oignons et 3 assortiments au choix."
"Shamyat";"sandwich";"6,5";"Sandwich Sojok émincé";"Viande hachée à la façon syrienne, tomate et cornichons."
"Shamyat";;"12,9";"Assiette végétarienne";"7 Assortiments variés chauds et froids au choix"
"Shamyat";"sandwich";"9,9";"Formule 1";"1 sandwich, 2 beignets et une boisson 33 cl au choix."
"Shamyat";"crepe";"3,5";"Katayef";"Base de pâte à crêpe farcie de noix et pistache, sirop de sucre - 1 pièce."
"Shamyat";;"2";"Baklawas";"Farci aux noix de cajou, pistaches et dattes. 1 pièce."
"Shamyat";"drink";"2";"Coca Cola Light";"Taille au choix."
"Shamyat";"sandwich";"6,9";"Sandwich chiche taouk";"Poulet mariné au citron et sauce à l'ail cornichon."
"Shamyat";;"6,5";"Poulet curry";"Poulet mariné au curry, sauce à l'ail et cornichon."
"Shamyat";"salad";"6";"Fattouche";"Salades de crudités fraiches et pain grillé."
"Shamyat";;"6";"Makdous";"Petites aubergines farcies aux noix et piments rouges."
"Shamyat";;"15,9";"Duo de brochettes";"1 brochette chiche taouk et 1 brochette kafta et 3 assortiments au choix."
"Shamyat";"sandwich";"6,9";"Sandwich chawarma boeuf";"Viande de boeuf marinée, persil oignons et sauce tahina."
"Shamyat";;"2";"Ayran";"33 cl."
"Shamyat";;"6";"Labné";"Fromage blanc syrien, ail et menthe.\n\n"
"Shamyat";"drink";"2";"Coca Cola ";"Taille au choix."
"Shamyat";;"4,6";"Riz à la façon syrienne ";"Riz au vermicelle à la façon syrienne "
"Shamyat";"sandwich";"6,5";"Sandwichs Hommos";"crème de pois chice, tomate, crème de sésame et huile d'olive"
"Shamyat";"sandwich";"6,5";"Sandwich kafta";"Brochette de viande hachée \"persil, oignon\", hommos, tomate, persil, oignon et cornichons."
"Shamyat";;"16,9";"Shamyat";"10 Assortiments variés chauds et froids, proposés par le chef."
"Shamyat";;"1,5";"Kebbé";"Boulette de viande hachée au blé concassé."
"Shamyat";"sandwich";"6,5";"Sandwichs Zaatar & labneh";"Thym, fromage blanc salé avec menthe et huile d'olive - végétarien."
"Shamyat";;"6";"Baba ghanouj";"Caviar d'aubergines, légumes, noix et sirop de grenadine."
"Shamyat";"drink";"2";"Orangina ";"Orangina 33cl"
"Shamyat";"sandwich";"11";"Formule 2";"1 sandwich, 3 beignets et une boisson 33 cl au choix."
"Shamyat";"sandwich";"13,5";"Formule 4";"2 sandwichs et 1 bouteille 50 cl au choix."
"Shamyat";;"14,9";"Chawarma poulet";"Émincé de poulet mariné et rôti à la broche et 3 assortiments au choix."
"Shamyat";"drink";"2";"Sprite ";"Sprite 33cl"
"Shamyat";"sandwich";"6,5";"Sandwich Halloumi";"Fromage halloumi, tomate, menthe et huile d'olive - végétarien."
"Shamyat";"sandwich";"12,5";"Formule 3";"1 sandwich, 2 entrées froides ou chaudes et une boisson 33 cl au choix."
"Shamyat";;"6";"Hommos";"Purée de pois chiches à la crème de sésame, citron et huile d'olive."
"Shamyat";"drink";"2";"oasis tropical 33cl";"oasis tropical 33cl"
"Shamyat";"sandwich";"6,5";"Sandwich falafel";"Boulette de farces de pois chiches, tomates salades, cornichons et crème de sésame, végétarien."
"Shamyat";;"3,5";"Condiments";"Navets, cornichons et piments."
"Siam Square";"drink";"2,9";"Coca cola";""
"Siam Square";"pasta";"12";"Phat thaï poulet";"Pâtes de riz avec poulet mariné émincé , tamarin , sucre de canne, soja , oeuf, ciboulettes, cacahuète et terminé avec une touche de nuoc-mâm."
"Siam Square";;"5";"Riz gluant";""
"Siam Square";;"2";"Sweeps agrum";""
"Siam Square";"drink";"2,9";"Coca zéro";""
"Siam Square";;"3,9";"Mochi crème mangue";""
"Siam Square";"drink";"3,9";"Mochi crème chocolat";""
"Siam Square";;"3,9";"Mochi crème melon";""
"Siam Square";;"12";"Grill saumon";"Filet de Saumon,mariné dans l'ail, cuit au four avec sa sauce citronnelle et menthe."
"Siam Square";;"3,9";"Mochi crème the vert";""
"Siam Square";"salad";"10";"Salade papaye";"Papaye verte thaïlandaise, tomates cerises, sauce maison et cacahuètes grillées. Servi avec du riz gluant."
"Siam Square";;"8";"Riz sauté à l'ananas";""
"Siam Square";;"2,9";"Jus de lychee";""
"Siam Square";;"3,9";"Singha";"Singha 33 cl ."
"Siam Square";;"12";"Poulet au curry vert ";"Filet de poulet émincé au curry vert cuit avec de la crème de coco,carotte,épis de maïs ,bambou,"
"Siam Square";;"3,9";"Mochi crème pêche  ";""
"Siam Square";;"2,9";"Evian";""
"Siam Square";;"2,9";"Jus d'orange";""
"Siam Square";;"2";"Minute maid tropical";""
"Siam Square";"pasta";"9,5";"Phat thaï végétarien";"Pâtes de riz avec tofu, tamarin , sucre de canne, soja , oeuf, ciboulettes, cacahuète et terminé avec une touche de nuoc-mâm."
"Siam Square";"salad";"10";"Bkk";"Salade ou soupe et riz thaï."
"Siam Square";;"12";"Grill porc";"Jarret de porc mariné dans dans le miel cuit à l'ais et à la cannelle,petits piments, feuilles de moutarde, soja,et œuf\"recette de phuket 6 heures de cuisson à basse temperature\"."
"Siam Square";;"2,9";"Les boissons";"Jus de lychee"
"Siam Square";;"2,9";"Aloe vera ";""
"Siam Square";;"12";"Phat thaï au crevette curry rouge(un peu pimente')";""
"Siam Square";;"12";"Koh";"Grill, sauce et riz thaï."
"Siam Square";;"2,9";"Jus de coco";""
"Siam Square";;"3,9";"Mochi crème yuzu";""
"Siam Square";;"12";"Grill boeuf";"Bœuf émincé au curry rouge cuit avec de la crémé de coco,riz parfumé,courgette, carotte,épis de mais,bambou et feuille de basilic."
"Siam Square";;"10";"Soupe tom yam kung";"Crevettes , coriandre fraîche , oignon, galanga , tomate citronnelle, \"peu piquant\""
"Siam Square";;"5";"Lait coco / tapioca banane fraîche.";"Perles de tapioca."
"Siam Square";;"2,9";"Thaï tea drink ";""
"Siam Square";;"3,9";"Lychee au sirop";""
"Siam Square";;"2,9";"Jus de mangue";""
"Siam Square";"salad";"10";"Salade de bœuf";"Rumsteck émincé juste saisi,riz croustillant au piment revenu sur échalotes , oignons verts  et feuilles de menthe et basilic thaï avec un filet de nuoc-mâm .Servis avec du riz Thaï \"épicé\""
"Siam Square";;"3";"Riz thaï blanc";""
"Siam Square";;"3,9";"Menthe-gingembre";"Citronnade maison 50cl ,gingembre frais,citron vert,sucre de noix de coco et menthe."
"Siam Square";"salad";"15";"Pattaya";"Salade ou soupe, grill, sauce et riz thaï."
"Siam Square";;"4";"Fruits de saison et frais .";""
"Siam Square";;"5";"Mangue-coco";"Mangue fraîche, riz gluant et noix de coco émincées."
"Siam Square";;"12";"Phat thaï au bœuf curry rouge (un peu pimente')";""
"Siam Square";;"12";"Grill poulet satay";"Cuisse de poulet ultra mariné dans le bain de lait de coco , curcuma et tamarin avec l' incontournable sauce satay maison ."
"Siam Square";;"3,9";"Nougat avec cacahuètes";""
"Siam Square";"drink";"2,9";"San Pellegrino.";""
"Siam Square";;"2";"Nestea pêche ";""
"Siam Square";;"2,9";"Fanta.";""
"Siam Square";;"3,9";"Mochi crème sésame ";""
"Starvin' Joe - Charonne";"dessert";"3,5";"Cookie";""
"Starvin' Joe - Charonne";;"13,5";"Menu Spicy Cheddar + frites + boisson";"Boeuf, cheddar, oignons confits, iceberg, pickles, sauce spicy ou piments jalapenos, servi avec des frites, une sauce et une boisson au choix. "
"Starvin' Joe - Charonne";"alcohol";"3,5";"Bière Warsteiner";"25cl"
"Starvin' Joe - Charonne";"burger";"10";"Cheddar Burger";"Boeuf, cheddar, oignons confits, iceberg, pickles, ketchup, moutarde US."
"Starvin' Joe - Charonne";"drink";"2,5";"Sprite";""
"Starvin' Joe - Charonne";"burger";"12";"Avocat Burger";"Boeuf, cheddar, avocat, oignons rouges, mesclun, cornichons, sauce spéciale."
"Starvin' Joe - Charonne";"drink";"2,5";"Coca Cola Zero";""
"Starvin' Joe - Charonne";"drink";"2,5";"Coca Cola Light";""
"Starvin' Joe - Charonne";"burger";"11";"BBQ Burger";"Boeuf, cheddar, oignons rouges, iceberg, pickles, sauce BBQ."
